Item,Quantity,Name,Material
1,1,HEMERA-175-SINK_1_1_1_1,- None -
2,1,hemera_face,PETG
3,2,face_belt_grabber,PETG
4,7,DIN 912 M3 8 mm,Hardened Alloy Steel
5,1,Duct v2.1 Angled 13.2deg,PETG
6,1,hemera_probe_adapter,PETG
7,20,"M3  Hex nut ",Hardened Alloy Steel
8,11,DIN 912 M3 10 mm,Hardened Alloy Steel
9,3,DIN 912 M3 25 mm,Hardened Alloy Steel
10,2,DIN 912 M3 40 mm,Hardened Alloy Steel
11,1,bottom_mgn15_hemera,PETG
12,1,back_corexy,PETG
13,2,tension_slider_9mm_belt_M5,PETG
14,2,DIN 912 M5 45 mm,Hardened Alloy Steel
15,2,M5  Hex nut Nyloc,Hardened Alloy Steel
16,1,5015 fan,- None -
17,2,DIN 912 M3 35 mm,Hardened Alloy Steel
18,1,top_mgn15,PETG
19,1,cable_holder,PETG
20,1,unversal_cable_mount,PETG
